#       x               y          id          logage      logmass   FWHM(pc)
      5955.57      2593.52      62011.0      8.11000      4.50000      1.67455
      4271.29      2662.08      64155.0      8.46000      4.50000      2.32086
      1816.70      2669.33      64370.0      7.96000      4.60000      7.02134
      5945.19      2670.28      64457.0      8.11000      4.60000      9.69474
      2735.11      2688.62      65010.0      8.01000      4.60000      1.35139
      4933.00      2861.49      70436.0      8.01000      4.80000      7.46201
      4950.28      2913.74      71945.0      8.36000      4.50000      4.20105
      1486.69      2953.93      73145.0      8.06000      4.70000      2.37962
      5497.67      2990.42      74220.0      8.31000      4.50000      5.61120
      5895.56      3028.38      75413.0      8.06000      4.70000      4.84737
      5664.46      3213.45      81546.0      8.36000      4.50000      5.22928
      2464.12      3338.93      85207.0      8.06000      4.60000      6.81570
      5641.80      3504.76      90533.0      7.96000      4.70000      5.43493
      1304.35      3575.90      92967.0      8.06000      4.50000      1.79206
      6808.96      3631.79      94844.0      8.06000      4.60000      3.87790
      4680.61      3645.61      95245.0      7.96000      4.70000      1.38077
      6734.39      3674.02      96058.0      8.06000      4.60000      2.20335
      4737.77      3743.81      97793.0      7.91000      4.70000      6.02249
      2785.12      3863.76      100426.      8.46000      4.70000      8.69589
      1276.71      3879.22      100763.      8.11000      4.60000      4.34794
      7170.14      3963.23      102690.      8.36000      4.60000      1.99770
      2418.56      3965.60      102753.      8.01000      4.70000      12.2800
      2770.05      3986.60      103283.      8.31000      4.60000      3.70163
      7046.18      4031.98      104324.      8.36000      4.60000      1.20450
      2890.93      4034.59      104386.      8.26000      4.60000      2.90842
      4240.79      4254.46      109480.      8.01000      4.60000      5.64058
      2844.19      4277.41      110079.      8.06000      4.60000      3.87790
      3229.83      4304.79      110829.      8.31000      4.70000      3.84852
      2690.16      4357.75      112263.      8.36000      4.50000      5.49369
      5393.09      4376.30      112792.      8.31000      4.60000      2.05646
      3993.08      4441.54      114557.      8.21000      4.70000    0.0293780
      5707.59      4451.78      114868.      8.46000      4.60000      4.37732
      2707.48      4529.11      117124.      8.06000      4.70000      3.78976
      3422.58      4551.84      117832.      8.01000      4.50000      4.93550
      7327.04      4621.58      120165.      8.06000      4.70000      3.46660
      4890.91      4639.25      120664.      7.96000      4.70000      7.28574
      3405.24      4659.25      121338.      8.41000      4.50000      1.26325
      2111.62      4699.76      122645.      7.96000      4.60000      2.49713
      6383.51      4729.17      123550.      8.01000      4.60000      4.17168
      3353.02      4752.52      124169.      8.36000      4.70000      4.90613
      3308.62      4833.62      126349.      8.06000      4.50000      3.58412
      6049.97      4844.26      126602.      8.06000      4.70000      1.64517
      2275.51      4850.54      126767.      8.06000      4.60000      3.05531
      4601.10      4903.09      128109.      7.96000      4.60000      5.11177
      2193.40      4960.85      129498.      8.01000      4.60000      6.25751
      4092.42      4964.39      129593.      8.06000      4.60000    0.0293780
      3689.82      4981.64      130014.      7.91000      4.80000      1.58641
      6140.67      5047.90      131806.      8.46000      4.80000      9.54785
      7303.13      5085.94      132886.      8.31000      4.50000      3.96603
      2585.87      5121.28      133802.      8.46000      4.70000      5.66995
      4302.73      5155.74      134737.      8.06000      4.60000      1.26325
      2497.12      5160.42      134843.      8.01000      4.50000      3.78976
      1628.14      5323.33      139228.      8.36000      4.60000      10.2235
      6234.13      5331.24      139481.      8.36000      4.80000      5.14115
      2195.23      5501.51      144194.      7.96000      4.80000      5.58182
      5637.75      5522.69      144760.      7.96000      4.70000      16.6279
      6937.15      5550.51      145502.      8.06000      4.50000      5.93436
      1658.74      5633.48      147868.      8.36000      4.60000      2.49713
      1775.82      5670.79      148918.      7.91000      4.60000      3.05531
      1495.71      5749.92      151214.      8.06000      4.60000      2.87904
      1302.99      5753.88      151335.      8.01000      4.50000      3.93665
      6685.58      5809.04      153031.      8.06000      4.80000      2.96718
      6742.37      5990.10      158527.      8.36000      4.80000      4.20105
      2531.75      6007.80      159053.      8.01000      4.50000      8.63713
      4932.42      6035.46      159942.      8.01000      4.60000      5.40555
      4444.04      6084.98      161394.      8.46000      4.70000      6.66881
      2118.46      6177.28      164197.      8.36000      4.60000      6.63943
      6459.15      6189.01      164604.      8.06000      4.50000      3.70163
      4552.92      6257.50      166771.      8.06000      4.60000      1.85081
      3261.29      6258.56      166802.      8.26000      4.60000      1.35139
      2763.49      6285.48      167778.      8.06000      4.70000      10.4879
      3577.54      6368.50      170680.      8.06000      4.70000      2.84967
      2405.37      6388.56      171336.      7.91000      4.60000      2.52651
      4850.50      6449.05      173174.      8.06000      4.50000      2.37962
      2789.66      6450.90      173225.      8.31000      4.70000      2.96718
      7124.47      6527.93      175457.      8.31000      4.50000      5.46431
      5323.40      6541.17      175835.      7.91000      4.80000      2.02708
      6465.15      6599.53      177569.      8.06000      4.70000      2.43837
      4973.26      6632.04      178484.      8.31000      4.50000      6.46316
      6265.23      6639.14      178682.      8.06000      4.60000      8.72527
      1525.97      6665.27      179447.      8.36000      4.70000      4.46546
      6263.58      6723.43      181256.      8.31000      4.60000      5.96373
      6519.53      6827.72      184459.      8.06000      4.70000      2.84967
      6249.26      6833.79      184653.      8.06000      4.50000      2.67340
      6043.56      6863.06      185556.      8.36000      4.80000      2.17397
      3059.30      6878.61      186054.      7.91000      4.60000      1.88019
      2213.27      6915.81      187217.      8.06000      4.60000      4.08354
      2002.73      6991.55      189790.      8.06000      4.70000      7.49139
      2226.91      7043.90      191600.      8.46000      4.60000      9.92976
      5609.47      7132.36      194441.      8.06000      4.60000      6.63943
      5854.21      7261.40      198375.      8.31000      4.60000      9.54785
      2885.52      7323.22      200079.      8.26000      4.70000      2.26211
      4433.08      7357.77      201106.      8.46000      4.70000      1.38077
      3842.92      7375.84      201586.      8.01000      4.80000      5.37617
      4128.50      7383.51      201831.      8.06000      4.60000      1.67455
      3884.41      7635.43      208828.      7.91000      4.60000      2.52651
      2116.06      7647.24      209101.      8.01000      4.60000      2.08584
      2028.89      10039.5      226290.      7.96000      4.50000      6.75694
