#    log_Sigma_ovr_tff  log_Sigma_ovr_tff_errl  log_Sigma_ovr_tff_errh  log_Sigma_sfr  log_Sigma_sfr_errl  log_Sigma_sfr_errh
     1.52390    2.26098E-02    2.14907E-02  -0.920479  0.   0.305404
     2.52835    2.30055E-02    2.18480E-02   0.474328  0.   0.305405
     2.87096    2.44443E-02    2.31414E-02    1.10696  0.   0.305404
     2.24922    3.01018E-02    2.81498E-02   0.114034  0.   0.308551
     2.80990    3.08774E-02    2.88270E-02   0.997334  0.   0.308553
     2.52505    2.27890E-02    2.16527E-02   0.338672  0.   0.305309
     2.64177    3.04897E-02    2.84891E-02   0.746522  0.   0.308553
     3.05407    3.08690E-02    2.88198E-02    1.00743  0.   0.308553
     3.49974    6.32141E-02    5.51713E-02    1.71501  0.   0.317443
     1.89379    1.77294E-02    1.70338E-02   -5.48151E-02  0.   0.302947
     1.74405    2.24085E-02    2.13087E-02  -0.850464  0.   0.305309
     2.46309    2.48330E-02    2.34895E-02   0.711544  0.   0.305309
     1.67852    3.39953E-02    3.15264E-02  -0.539881  0.   0.310487
     2.09826    3.01664E-02    2.82063E-02   0.157979  0.   0.308553
     2.98734    3.10063E-02    2.89395E-02   0.872396  0.   0.308553
     1.69752    3.00285E-02    2.80858E-02  -0.616422  0.   0.308553
     1.84253    3.00274E-02    2.80850E-02  -0.487538  0.   0.308553
     1.54504    2.99940E-02    2.80555E-02  -0.991489  0.   0.308551
     1.85498    3.00301E-02    2.80871E-02  -0.443900  0.   0.308553
     2.00752    2.82236E-02    2.65009E-02   -1.24106E-02  0.   0.307663
     2.04226    2.60031E-02    2.45340E-02   0.141026  0.   0.306699
     2.13237    2.60820E-02    2.46041E-02   0.312962  0.   0.306700
     2.54300    2.61724E-02    2.46844E-02   0.628180  0.   0.306700
     1.93218    2.58622E-02    2.44082E-02  -0.386473  0.   0.306700
     2.50042    2.59666E-02    2.45011E-02   0.270865  0.   0.306699
     1.93405    2.59440E-02    2.44811E-02   -6.13942E-02  0.   0.306700
     1.99532    2.61561E-02    2.46698E-02   0.275820  0.   0.306700
     1.88577    2.59233E-02    2.44627E-02  -0.184856  0.   0.306700
     2.54146    2.63371E-02    2.48308E-02   0.857030  0.   0.306700
