# Compilation of measurements of Gamma values; columns are:
# 1) Galaxy name
# 2) Value of Gamma
# 3) Lower error on Gamma
# 4) Upper error on Gamma
# 5) Lower limit of age interval over which Gamma was measured (log time in yr)
# 6) Upper limit of age interval over which Gamma was measured (log time in yr)
# 7) Exclusive or inclusive catalog (0 = inclusive, 1 = exclusive, 2 = see notes)
# 8) SFR per unit area [log Msun kpc^-2 yr^-1]
# 9) Starburst (if 1, this galaxy is a starburst for which the SFR is likely
#    to be non-constant over ~10 Myr; thus Gamma estimates at ages > 10 Myr
#    should be treated with caution)
# 9) Reference; codes are as follows:
#     G10 = Goddard, Bastian, & Kennicutt, 2010, MNRAS, 405, 857
#     A11 = Adamo et al., 2011, MNRAS, 417, 1904
#     R14 = Ryon et al., 2014, ApJ, 143, 33
#     A15 = Adamo et al., 2015, MNRAS, 452, 246
#     LL15 = Lim & Lee, 2015, ApJ, 804, 123
#     J16 = Johnson et al., 2016, ApJ, 827, 33
#     C17 = Chandar et al., 2017, ApJ, 849, 128
#     M18 = Messa et al., 2018, MNRAS, 473, 996
#     G18 = Ginsburg & Kruijssen, 2018, ApJ, 864, L17
# 10) Additional notes; see bottom

Galaxy_Name	Gamma  	   Gamma_lo_err	Gamma_hi_err	T_lo	T_hi	Exclusive	Sigma_SFR	SB	Source	Notes
M51		0.324	   -0.121	0.121		6.0	7.0	1		-1.88		0	M18	6
M51		0.186	   -0.024	0.024		7.0	8.0	1		-1.86		0	M18	6
SgrB2		0.37	   -0.07	0.07		6.0	6.5	2		0.47		0	G18	7

# General notes
#
# -- All SFR measurements that are not based on CMDs have been homogenised
#    to the calibrations of Kennicutt & Evans (2012, ARA&A, 50, 531)
#
#
# Notes on individual entries
#
# 1) R14 compute Gamma over the whole galaxy (listed as just NGC2997)
#    and separately over the disk (NGC2997_reg1) and the circumnuclear
#    ring (NGC2997_reg2).
# 2) The values listed as just M83 are whole-galaxy averages; the  values
#    listed as M83_regXX are measurements in each of A15's equal-area annuli;
#    they also present measurements in equal number annuli, but we do not
#    include these in our table
# 3) Data are from LL15, but the extracted value of Gamma (which is
#    plotted but not explicitly stated in their paper) and the SFR
#    (also not reported) is from table B1 of A15.
# 4) The value listed for just M31 is the average over the whole galaxy;
#    the entries listed as M31_regXX are sub-regions, defined as
#    described in J16.
# 5) C17 report several measures of the SFR. We have used their Halpha
#    SFRs for log T/yr < 7. For 7 < log T/yr < 8 we use their CMD-based
#    SFR isf available, and their FUV-based SFR is not. For 8 <
#    log T/yr < 8.6 we have used their CMD-based SFR if available,
#    and their 24 micron SFR is not.
# 6) M18 report Gamma averaged over bins from 10 - 100 Myr and 1 - 10
#    Myr, as listed in our table, and also from 1 - 100 and 1 - 200
#    Myr; we include only the two former measurements because only
#    they are independent. Messa et al., 2018, MNRAS, 477, 1683 also
#    report measurements in separate radial rings of M51, but we do
#    not include those here because the measurements are not independent.
# 7) G18's measurement is for the Sgr B2 cloud in the Milky Way CMZ.
#    This is not an exclusive or inclusive catalog per our definitions,
#    since the boundedness is decided by kinematics rather than
#    morphology. The SFR per unit area listed is their estimate,
#    and applies just to the annulus from 60 - 120 pc in the CMZ,
#    not to the Milky Way as a whole.
