#surfdensity	eff
357.61669922	0.00101823
385.56045532	0.00110238
373.19714355	0.00135875
290.81796265	0.00207471
134.68168640	0.00407359
120.84002686	0.00395472
108.88359070	0.00377277
138.95622253	0.00256670
284.40893555	0.00135048
368.12011719	0.00091040
362.17193604	0.00083018
336.42727661	0.00101070
342.75482178	0.00118040
290.44866943	0.00150279
230.82768250	0.00218643
226.93782043	0.00377909
144.75163269	0.00582145
140.68682861	0.00358119
137.76956177	0.00306311
138.91105652	0.00277222
311.06774902	0.00143279
436.59094238	0.00104267
400.91006470	0.00110616
316.20040894	0.00151491
289.86297607	0.00186717
283.68060303	0.00193030
215.68307495	0.00208412
201.61134338	0.00270282
183.83770752	0.00265760
178.58668518	0.00214895
253.89674377	0.00175127
466.41674805	0.00123080
468.28106689	0.00134311
354.82159424	0.00196377
288.17483521	0.00252174
318.17529297	0.00246909
307.93038940	0.00251290
195.61668396	0.00250656
181.84848022	0.00295101
214.84703064	0.00385524
227.50228882	0.00171199
214.31919861	0.00165165
347.10140991	0.00153530
456.98315430	0.00154754
406.55950928	0.00200561
309.73544312	0.00280703
299.64105225	0.00293065
348.29153442	0.00276374
301.32723999	0.00275476
173.39852905	0.00245500
179.22079468	0.00261612
180.56163025	0.00439219
237.22737122	0.00146584
232.42353821	0.00158770
340.76770020	0.00174141
406.09909058	0.00199738
358.45166016	0.00253297
290.46478271	0.00306992
319.58154297	0.00275383
335.70123291	0.00261831
227.32859802	0.00261888
175.75193787	0.00215582
187.02449036	0.00242217
236.83856201	0.00160184
226.45693970	0.00164465
288.12020874	0.00192096
326.36276245	0.00229336
287.51843262	0.00270755
282.47595215	0.00261346
310.42803955	0.00220258
249.58508301	0.00226249
151.25035095	0.00257514
164.14535522	0.00219616
165.03738403	0.00285571
224.47964478	0.00198547
218.01385498	0.00188975
232.04835510	0.00213180
236.96420288	0.00232484
239.79507446	0.00240307
257.12695312	0.00227682
222.94024658	0.00227410
138.84083557	0.00256857
134.00688171	0.00260154
151.59484863	0.00271412
220.61340332	0.00273314
230.18736267	0.00268235
226.21649170	0.00287997
227.12307739	0.00288554
221.53488159	0.00290274
194.75334167	0.00313021
130.10943604	0.00325380
125.95057678	0.00342821
165.77610779	0.00391543
173.62817383	0.00513125
68.13706970	0.00687652
67.58945465	0.00623202
65.13726044	0.00737259
67.87765503	0.00593457
65.49401855	0.00558157
62.22826385	0.00733229
65.86882782	0.00618806
59.63434219	0.00536055
50.17155457	0.00624459
57.70129776	0.00784466
71.41291046	0.00700790
72.73927307	0.00531266
71.19527435	0.00488746
69.01280212	0.00533317
64.25749207	0.00482335
61.09925842	0.00411274
59.29370499	0.00442016
59.63008118	0.00606874
65.85530853	0.00733394
66.98595428	0.00732599
64.17185211	0.00554402
59.69223785	0.00393616
52.44234085	0.00468727
49.01620102	0.00677554
69.44833374	0.00774385
73.34795380	0.00566715
72.05976868	0.00418676
70.78097534	0.00394557
66.32738495	0.00434313
57.18436432	0.00481178
58.19612122	0.00486607
59.99412918	0.00533303
68.36835480	0.00569300
73.53488159	0.00534110
74.46047974	0.00541914
73.71537018	0.00453347
62.08860779	0.00368196
50.21855927	0.00505149
48.86937714	0.00619106
96.97015381	0.00439946
92.20597839	0.00506485
76.48284912	0.00573978
72.88954163	0.00522458
70.07696533	0.00419691
69.29742432	0.00351165
68.12581635	0.00371647
65.93183899	0.00451707
72.18446350	0.00525784
74.83242035	0.00574082
72.83835602	0.00569164
74.97615814	0.00516568
81.31742096	0.00514982
99.51548767	0.00522790
108.46879578	0.00416411
74.75191498	0.00375825
50.07895660	0.00492458
48.66880798	0.00643437
83.67272949	0.00514284
90.48944092	0.00480143
85.53667450	0.00470042
80.80421448	0.00405362
75.47437286	0.00399862
68.82469177	0.00380049
66.37396240	0.00393514
76.44216156	0.00429943
90.81848907	0.00451038
92.03844452	0.00495590
85.40641785	0.00518962
79.54534149	0.00531853
79.62422943	0.00553137
95.15480042	0.00517013
115.30198669	0.00466642
107.56583405	0.00406707
73.50736237	0.00453763
75.33081055	0.00439721
77.31206512	0.00430877
80.76548004	0.00407209
84.39958191	0.00393782
74.68518829	0.00386284
61.09768295	0.00443136
67.06343079	0.00510372
95.47721863	0.00435828
101.03575897	0.00408527
91.97010803	0.00423653
81.66384125	0.00450228
77.26521301	0.00512034
75.37215424	0.00547592
90.22083282	0.00481970
96.60874939	0.00434910
88.01105499	0.00466429
63.62977600	0.00490815
66.82397461	0.00430117
69.71267700	0.00430429
79.99407959	0.00455796
73.56134033	0.00424528
56.87889481	0.00429498
51.97379303	0.00550718
71.94242096	0.00562711
95.65830994	0.00487638
92.23709106	0.00451000
77.19140625	0.00458592
71.64450073	0.00475218
68.25957489	0.00544044
73.72692108	0.00570740
97.10049438	0.00507169
103.35957336	0.00493906
93.93928528	0.00556197
73.40820312	0.00462368
79.60092926	0.00473174
84.05009460	0.00477900
74.69773102	0.00496712
60.97660065	0.00468541
51.32731247	0.00520057
53.22475052	0.00615201
69.16431427	0.00705438
79.12854767	0.00651355
68.12269592	0.00582448
67.59456635	0.00497469
67.93135071	0.00522767
66.11994171	0.00612949
90.61060333	0.00560139
113.04761505	0.00515576
112.19136810	0.00520437
92.28590393	0.00640301
90.34558868	0.00492698
88.13375854	0.00463488
91.21177673	0.00482655
88.92334747	0.00499710
77.80856323	0.00528104
64.99175262	0.00608955
56.00851822	0.00651236
54.62125015	0.00804957
59.77932358	0.00880371
56.45826340	0.00714021
60.74431992	0.00545862
67.91801453	0.00490349
63.01844406	0.00594808
69.20354462	0.00618616
101.69252014	0.00524953
114.77246094	0.00467206
106.86672211	0.00478478
87.23393250	0.00674712
95.87838745	0.00551620
88.05953979	0.00564110
90.56049347	0.00569869
88.07680511	0.00621081
79.19191742	0.00777549
69.19205475	0.00918728
61.41727829	0.01015523
63.05409241	0.00637971
62.38246918	0.00676280
62.81835556	0.00804461
80.05499268	0.00840277
102.48216248	0.00650908
107.81655884	0.00538820
99.30396271	0.00572765
74.76838684	0.00566500
52.96224594	0.00645781
56.02180862	0.00623960
65.10916901	0.00592856
66.32437897	0.00731430
71.71121216	0.00533856
78.35810089	0.00340339
76.22773743	0.00300609
61.75197601	0.00358314
52.01659393	0.00470393
76.04129791	0.00508849
74.44757080	0.00356614
66.95505524	0.00451082
63.66033173	0.00700973
81.78066254	0.00715215
101.88466644	0.00700315
58.35239410	0.00673500
57.52566147	0.00526757
68.08906555	0.00361114
71.38397980	0.00398844
69.12288666	0.00531729
71.25811005	0.00437796
70.04713440	0.00348955
61.15018082	0.00343342
53.42362976	0.00420152
50.40243912	0.00581894
48.13927841	0.00895760
60.53057480	0.00681302
69.85946655	0.00398359
68.84722900	0.00355111
64.29678345	0.00416204
65.89665222	0.00524530
87.58347321	0.00527815
95.72465515	0.00792958
64.62966156	0.00410420
68.27716064	0.00318389
65.56690979	0.00436795
62.97761154	0.00580598
61.93158340	0.00556151
58.80675888	0.00491408
53.54960632	0.00520552
50.77521515	0.00604367
48.11628342	0.00717717
47.36389542	0.00808985
56.34701157	0.00608117
63.51907730	0.00460915
63.95198059	0.00406445
59.07043076	0.00447408
59.61954498	0.00525277
68.58526611	0.00566903
70.24779510	0.00610821
60.93530655	0.00547045
63.35614014	0.00431708
64.15589905	0.00456075
60.59310913	0.00604984
57.99166107	0.00750713
54.53372192	0.00772664
49.98405838	0.00854864
47.60195541	0.00828242
44.69745636	0.00857693
49.30397797	0.00771503
56.49135590	0.00631267
60.56834412	0.00529262
57.65985870	0.00483111
51.23944092	0.00557630
49.94721222	0.00529175
54.55057526	0.00565953
115.48860931	0.00712669
88.06816101	0.00737592
62.48019028	0.00651866
67.10907745	0.00457394
64.74044037	0.00434742
61.41577148	0.00525081
62.41680145	0.00635025
57.70738983	0.00863649
49.68587112	0.00964650
47.56958389	0.00796805
48.87566376	0.00787345
52.39666748	0.00720052
54.84088135	0.00668256
53.43976212	0.00636635
48.18511581	0.00610894
42.61441422	0.00564526
44.47664261	0.00464416
155.10643005	0.00805211
124.29378510	0.00666472
77.22794342	0.00734993
66.31198883	0.00750148
65.09535980	0.00546573
62.16504288	0.00431631
68.00232697	0.00383208
70.38103485	0.00467992
59.77361679	0.00657003
56.05204773	0.00599126
59.81783676	0.00562136
55.93038559	0.00673640
52.15416336	0.00689398
50.27519608	0.00708465
45.98399353	0.00758700
41.32221222	0.00592292
39.00476837	0.00462030
125.89416504	0.00707383
82.65158844	0.00653365
62.83960342	0.00760160
58.58267593	0.01217575
56.68296432	0.00703170
61.19124222	0.00440761
69.50083160	0.00402523
65.49169922	0.00488670
60.95311356	0.00516023
67.51055145	0.00451593
66.78715515	0.00533621
57.80349731	0.00697327
50.98671722	0.00688060
49.03060150	0.00756540
46.27247238	0.00729638
43.36194992	0.00486834
43.28274918	0.00469350
62.64509583	0.00749431
48.90047455	0.01332319
51.29837418	0.00736036
56.40129852	0.00644739
58.81465912	0.00635692
58.79227829	0.00512074
65.84602356	0.00417712
68.14293671	0.00462863
63.55382156	0.00642160
55.18898773	0.00768421
50.48537064	0.00763850
50.28092957	0.00854451
49.11967468	0.00661077
49.94549179	0.00478413
53.89758682	0.00699412
47.81357193	0.01066161
51.38747025	0.01045832
52.14027405	0.00918770
60.09740067	0.00533617
63.39331055	0.00535745
61.20948029	0.00677125
56.99356079	0.00806118
52.23324585	0.01004522
52.41942215	0.00685878
55.66088867	0.00668498
